timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,0.0,0.0
1,301_STORAGE_1,-0.0,-0.0
2,301_STORAGE_1,-0.0,-0.0
2,313_STORAGE_1,0.0,0.0
3,313_STORAGE_1,0.0,0.0
3,301_STORAGE_1,-0.0,-0.0
4,313_STORAGE_1,0.0,0.0
4,301_STORAGE_1,-0.0,-0.0
5,313_STORAGE_1,0.0,0.0
5,301_STORAGE_1,-0.0,-0.0
6,313_STORAGE_1,-0.0,-0.0
6,301_STORAGE_1,-0.0,-0.0
7,313_STORAGE_1,0.0,0.0
7,301_STORAGE_1,-0.0,-0.0
8,313_STORAGE_1,0.0,0.0
8,301_STORAGE_1,-0.0,-0.0
9,301_STORAGE_1,-0.0,-0.0
9,313_STORAGE_1,0.0,0.0
10,301_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,0.0,0.0
11,301_STORAGE_1,23.217425,27.31461764705882
11,313_STORAGE_1,0.0,0.0
12,301_STORAGE_1,23.217425,27.31461764705882
12,313_STORAGE_1,0.0,0.0
13,301_STORAGE_1,23.217425,27.31461764705882
13,313_STORAGE_1,-0.0,-0.0
14,301_STORAGE_1,22.453963800000004,26.416428000000003
14,313_STORAGE_1,26.332624,30.979557647058822
15,313_STORAGE_1,26.332624,30.979557647058822
15,301_STORAGE_1,22.423826199999997,26.380971999999996
16,301_STORAGE_1,20.53900645,24.163536999999998
16,313_STORAGE_1,14.306593,16.83128588235294
17,301_STORAGE_1,23.217425,27.31461764705882
17,313_STORAGE_1,0.0,0.0
18,301_STORAGE_1,26.380971999999996,31.03643764705882
18,313_STORAGE_1,22.423826199999997,26.380971999999996
19,313_STORAGE_1,22.3827304,26.332624
19,301_STORAGE_1,26.380971999999996,31.03643764705882
20,301_STORAGE_1,26.380971999999996,31.03643764705882
20,313_STORAGE_1,22.3827304,26.332624
21,301_STORAGE_1,23.334982,27.452920000000002
21,313_STORAGE_1,19.8347347,23.334982
22,301_STORAGE_1,22.732463,26.74407411764706
22,313_STORAGE_1,19.32259355,22.732463
23,301_STORAGE_1,21.116646,24.84311294117647
23,313_STORAGE_1,17.9491491,21.116646
24,313_STORAGE_1,0.0,24.84311294117647
24,301_STORAGE_1,0.0,24.84311294117647
