timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,-0.0,-0.0
2,313_STORAGE_1,-0.0,-0.0
3,313_STORAGE_1,-0.0,-0.0
4,313_STORAGE_1,15.731579,18.507740000000002
5,313_STORAGE_1,21.116646,24.84311294117647
6,313_STORAGE_1,19.32259355,22.732463
7,313_STORAGE_1,13.371842149999999,15.731579
8,313_STORAGE_1,-0.0,-0.0
9,313_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,-0.0,-0.0
11,313_STORAGE_1,-0.0,-0.0
12,313_STORAGE_1,-0.0,-0.0
13,313_STORAGE_1,15.731579,18.507740000000002
14,313_STORAGE_1,21.116646,24.84311294117647
15,313_STORAGE_1,22.732463,26.74407411764706
16,313_STORAGE_1,25.908321,30.480377647058827
17,313_STORAGE_1,22.464827650000004,26.429209000000004
18,313_STORAGE_1,21.882182399999998,25.743744
19,313_STORAGE_1,21.882182399999998,25.743744
20,313_STORAGE_1,21.882182399999998,25.743744
21,313_STORAGE_1,21.882182399999998,25.743744
22,313_STORAGE_1,18.09469715,21.287879
23,313_STORAGE_1,12.021017899999999,14.142373999999998
24,313_STORAGE_1,0.0,16.63808705882353
