timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,0.0,0.0
1,301_STORAGE_1,-0.0,-0.0
2,301_STORAGE_1,-0.0,-0.0
2,313_STORAGE_1,0.0,0.0
3,313_STORAGE_1,0.0,0.0
3,301_STORAGE_1,-0.0,-0.0
4,313_STORAGE_1,-0.0,-0.0
4,301_STORAGE_1,-0.0,-0.0
5,313_STORAGE_1,0.0,0.0
5,301_STORAGE_1,-0.0,-0.0
6,313_STORAGE_1,-0.0,-0.0
6,301_STORAGE_1,-0.0,-0.0
7,313_STORAGE_1,0.0,0.0
7,301_STORAGE_1,-0.0,-0.0
8,313_STORAGE_1,0.0,0.0
8,301_STORAGE_1,-0.0,-0.0
9,301_STORAGE_1,-0.0,-0.0
9,313_STORAGE_1,-0.0,-0.0
10,301_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,0.0,0.0
11,301_STORAGE_1,-0.0,-0.0
11,313_STORAGE_1,0.0,0.0
12,301_STORAGE_1,12.455902,14.654002352941177
12,313_STORAGE_1,0.0,0.0
13,301_STORAGE_1,23.217425,27.31461764705882
13,313_STORAGE_1,0.0,0.0
14,301_STORAGE_1,23.217425,27.31461764705882
14,313_STORAGE_1,0.0,0.0
15,313_STORAGE_1,0.0,0.0
15,301_STORAGE_1,23.217425,27.31461764705882
16,301_STORAGE_1,22.423826199999997,26.380971999999996
16,313_STORAGE_1,22.3827304,26.332624
17,301_STORAGE_1,22.732463,26.74407411764706
17,313_STORAGE_1,19.32259355,22.732463
18,301_STORAGE_1,19.73481125,23.217425
18,313_STORAGE_1,15.396453750000001,18.113475
19,313_STORAGE_1,0.0,0.0
19,301_STORAGE_1,21.907448000000002,25.77346823529412
20,301_STORAGE_1,22.732463,26.74407411764706
20,313_STORAGE_1,22.732463,26.74407411764706
21,301_STORAGE_1,22.732463,26.74407411764706
21,313_STORAGE_1,22.732463,26.74407411764706
22,301_STORAGE_1,22.732463,26.74407411764706
22,313_STORAGE_1,22.732463,26.74407411764706
23,301_STORAGE_1,21.287879,25.044563529411764
23,313_STORAGE_1,21.287879,25.044563529411764
24,313_STORAGE_1,0.0,25.044563529411764
24,301_STORAGE_1,0.0,25.044563529411764
